X,Y,Z
-143.8027227722772,-18.134557377049163,-0.47828420802834515
-143.8027227722772,-17.63081967213114,-0.47803828346779786
-143.8027227722772,-17.127081967213115,-0.4779460239463136
-143.8027227722772,-16.62334426229509,-0.4778407573447514
-143.8027227722772,-16.11960655737704,-0.4776250818076413
-143.8027227722772,-15.615868852459016,-0.47738762697365766
-143.8027227722772,-15.112131147540993,-0.47736524269631353
-143.8027227722772,-14.608393442622969,-0.47733559865334474
-143.8027227722772,-14.104655737704917,-0.4772058303427982
-143.8027227722772,-13.600918032786893,-0.477151684590845
-143.8027227722772,-13.09718032786887,-0.47708543922951696
-143.8027227722772,-12.593442622950818,-0.4770597275595949
-143.8027227722772,-12.089704918032794,-0.47705519020607934
-143.8027227722772,-11.585967213114742,-0.47701616896584476
-143.8027227722772,-11.082229508196718,-0.4771047986045165
-143.8027227722772,-10.578491803278695,-0.47720764528420423
-143.8027227722772,-10.074754098360643,-0.4772533213095951
-143.8027227722772,-9.57101639344262,-0.477291132588892
-143.8027227722772,-9.067278688524596,-0.47751709279397003
-143.8027227722772,-8.563540983606543,-0.4775071106162354
-143.8027227722772,-8.05980327868852,-0.4775249575400635
-143.8027227722772,-7.556065573770496,-0.4773785522666265
-143.8027227722772,-7.052327868852444,-0.47775666505959524
-143.8027227722772,-6.548590163934421,-0.4778507395224856
-143.8027227722772,-6.044852459016397,-0.47801710915139184
-143.8027227722772,-5.541114754098373,-0.47804947560647015
-143.8027227722772,-5.037377049180321,-0.47822340749123526
-143.8027227722772,-4.533639344262298,-0.4784614673056886
-143.8027227722772,-4.029901639344274,-0.47871888649514194
-143.8027227722772,-3.5261639344262505,-0.4788758789267824
-143.8027227722772,-3.0224262295081985,-0.47930934743264153
-143.8027227722772,-2.518688524590175,-0.4794784394736573
-143.8027227722772,-2.014950819672123,-0.47980633888772006
-143.8027227722772,-1.5112131147540993,-0.48009340212014173
-143.8027227722772,-1.0074754098360756,-0.48033297438576694
-143.8027227722772,-0.5037377049180236,-0.48048391701272
-143.8027227722772,0.0,-0.4807619055381105
